hour,day_of_week,weather,road_type,speed_limit,is_rush_hour,is_night,is_weekend,weather_risk,road_risk,speed_risk,risk_level
2,Monday,Fine,Single carriageway,40,0,1,0,0,2,0,Medium
4,Thursday,Rainy,Single carriageway,60,0,1,0,2,2,1,High
18,Friday,Cloudy,Single carriageway,60,1,0,0,1,2,1,Medium
6,Wednesday,Fine,Roundabout,60,0,0,0,0,2,1,Low
20,Thursday,Cloudy,One way street,50,1,0,0,1,1,1,Medium
8,Thursday,Fine,Single carriageway,60,1,0,0,0,2,1,Medium
6,Friday,Fine,Rural road,40,0,0,0,0,3,0,Low
17,Thursday,Fine,Rural road,30,1,0,0,0,3,0,Medium
3,Monday,Fine,Dual carriageway,30,0,1,0,0,1,0,Low
13,Monday,Fine,One way street,80,0,0,0,0,1,2,Low
17,Saturday,Fine,One way street,30,1,0,1,0,1,0,Low
8,Tuesday,Fine,Roundabout,50,1,0,0,0,2,1,Medium
20,Thursday,Cloudy,Dual carriageway,30,1,0,0,1,1,0,Low
1,Tuesday,Foggy,Roundabout,50,0,1,0,2,2,1,High
19,Wednesday,Cloudy,Dual carriageway,50,1,0,0,1,1,1,Medium
14,Sunday,Fine,One way street,80,0,0,1,0,1,2,Low
6,Monday,Fine,Roundabout,30,0,0,0,0,2,0,Low
11,Saturday,Fine,Dual carriageway,80,0,0,1,0,1,2,Low
7,Wednesday,Fine,One way street,60,0,0,0,0,1,1,Low
14,Saturday,Fine,One way street,40,0,0,1,0,1,0,Low
2,Sunday,Fine,Single carriageway,30,0,1,1,0,2,0,Medium
13,Sunday,Cloudy,Roundabout,60,0,0,1,1,2,1,Medium
16,Friday,Cloudy,Single carriageway,60,0,0,0,1,2,1,Medium
3,Monday,Fine,One way street,80,0,1,0,0,1,2,Medium
17,Wednesday,Fine,Roundabout,80,1,0,0,0,2,2,Medium
7,Friday,Cloudy,Roundabout,40,0,0,0,1,2,0,Low
3,Sunday,Fine,Rural road,40,0,1,1,0,3,0,Medium
1,Wednesday,Fine,Dual carriageway,40,0,1,0,0,1,0,Low
5,Saturday,Fine,Rural road,40,0,1,1,0,3,0,Medium
21,Friday,Fine,Rural road,80,0,0,0,0,3,2,Medium
9,Friday,Fine,One way street,50,1,0,0,0,1,1,Low
3,Monday,Cloudy,Dual carriageway,80,0,1,0,1,1,2,High
21,Tuesday,Rainy,Rural road,50,0,0,0,2,3,1,High
17,Saturday,Fine,Rural road,80,1,0,1,0,3,2,High
11,Saturday,Fine,Roundabout,80,0,0,1,0,2,2,Medium
1,Friday,Cloudy,One way street,40,0,1,0,1,1,0,Medium
9,Friday,Fine,Rural road,50,1,0,0,0,3,1,Medium
3,Monday,Fine,Dual carriageway,60,0,1,0,0,1,1,Medium
13,Tuesday,Fine,Single carriageway,60,0,0,0,0,2,1,Low
15,Saturday,Fine,Single carriageway,60,0,0,1,0,2,1,Low
14,Sunday,Cloudy,One way street,40,0,0,1,1,1,0,Low
7,Thursday,Cloudy,Single carriageway,60,0,0,0,1,2,1,Medium
13,Thursday,Fine,Roundabout,80,0,0,0,0,2,2,Medium
22,Tuesday,Fine,Roundabout,40,0,1,0,0,2,0,Medium
7,Wednesday,Fine,Dual carriageway,60,0,0,0,0,1,1,Low
20,Monday,Fine,One way street,40,1,0,0,0,1,0,Low
15,Tuesday,Foggy,One way street,80,0,0,0,2,1,2,Medium
12,Thursday,Cloudy,Single carriageway,40,0,0,0,1,2,0,Low
17,Friday,Fine,Rural road,60,1,0,0,0,3,1,Medium
14,Thursday,Cloudy,Rural road,40,0,0,0,1,3,0,Medium
20,Friday,Cloudy,Rural road,30,1,0,0,1,3,0,Medium
23,Monday,Cloudy,Dual carriageway,60,0,1,0,1,1,1,Medium
12,Friday,Fine,One way street,80,0,0,0,0,1,2,Low
8,Tuesday,Fine,Single carriageway,50,1,0,0,0,2,1,Medium
14,Friday,Cloudy,Dual carriageway,40,0,0,0,1,1,0,Low
12,Wednesday,Fine,Roundabout,40,0,0,0,0,2,0,Low
0,Tuesday,Foggy,Roundabout,60,0,1,0,2,2,1,High
6,Monday,Cloudy,Roundabout,60,0,0,0,1,2,1,Medium
8,Tuesday,Rainy,One way street,30,1,0,0,2,1,0,Medium
23,Wednesday,Fine,Roundabout,80,0,1,0,0,2,2,High
0,Monday,Rainy,Rural road,40,0,1,0,2,3,0,High
11,Thursday,Fine,Roundabout,40,0,0,0,0,2,0,Low
7,Wednesday,Foggy,Dual carriageway,50,0,0,0,2,1,1,Medium
23,Monday,Fine,Roundabout,40,0,1,0,0,2,0,Medium
10,Sunday,Fine,Rural road,40,1,0,1,0,3,0,Medium
18,Friday,Cloudy,Roundabout,30,1,0,0,1,2,0,Medium
16,Tuesday,Fine,Single carriageway,50,0,0,0,0,2,1,Low
7,Monday,Fine,Rural road,40,0,0,0,0,3,0,Low
2,Tuesday,Foggy,One way street,40,0,1,0,2,1,0,Medium
2,Friday,Fine,Roundabout,80,0,1,0,0,2,2,High
0,Monday,Fine,Dual carriageway,40,0,1,0,0,1,0,Low
4,Thursday,Fine,Roundabout,30,0,1,0,0,2,0,Medium
9,Sunday,Cloudy,Dual carriageway,40,1,0,1,1,1,0,Low
6,Sunday,Fine,Single carriageway,40,0,0,1,0,2,0,Low
8,Wednesday,Fine,One way street,60,1,0,0,0,1,1,Low
6,Monday,Fine,Rural road,40,0,0,0,0,3,0,Low
8,Friday,Fine,Rural road,50,1,0,0,0,3,1,Medium
7,Monday,Fine,One way street,60,0,0,0,0,1,1,Low
11,Tuesday,Fine,Single carriageway,50,0,0,0,0,2,1,Low
1,Saturday,Fine,Single carriageway,50,0,1,1,0,2,1,Medium
0,Monday,Fine,Roundabout,30,0,1,0,0,2,0,Medium
15,Sunday,Fine,Single carriageway,40,0,0,1,0,2,0,Low
22,Sunday,Cloudy,Roundabout,50,0,1,1,1,2,1,High
22,Sunday,Fine,Dual carriageway,40,0,1,1,0,1,0,Low
23,Thursday,Fine,One way street,40,0,1,0,0,1,0,Low
4,Monday,Fine,Dual carriageway,30,0,1,0,0,1,0,Low
2,Wednesday,Fine,Dual carriageway,30,0,1,0,0,1,0,Low
11,Monday,Cloudy,Dual carriageway,50,0,0,0,1,1,1,Low
7,Saturday,Cloudy,Dual carriageway,50,0,0,1,1,1,1,Low
21,Sunday,Fine,Rural road,60,0,0,1,0,3,1,Medium
2,Tuesday,Fine,Single carriageway,40,0,1,0,0,2,0,Medium
0,Sunday,Fine,One way street,40,0,1,1,0,1,0,Low
2,Monday,Fine,One way street,30,0,1,0,0,1,0,Low
4,Thursday,Rainy,Dual carriageway,30,0,1,0,2,1,0,Medium
14,Friday,Fine,One way street,50,0,0,0,0,1,1,Low
13,Monday,Fine,Roundabout,60,0,0,0,0,2,1,Low
2,Monday,Fine,One way street,60,0,1,0,0,1,1,Medium
0,Wednesday,Fine,Dual carriageway,30,0,1,0,0,1,0,Low
4,Thursday,Cloudy,One way street,30,0,1,0,1,1,0,Medium
22,Saturday,Fine,Single carriageway,60,0,1,1,0,2,1,Medium
13,Friday,Rainy,Dual carriageway,60,0,0,0,2,1,1,Medium
6,Sunday,Fine,Rural road,50,0,0,1,0,3,1,Medium
8,Tuesday,Fine,Single carriageway,60,1,0,0,0,2,1,Medium
14,Monday,Fine,One way street,40,0,0,0,0,1,0,Low
14,Saturday,Cloudy,Rural road,60,0,0,1,1,3,1,Medium
9,Friday,Fine,Single carriageway,80,1,0,0,0,2,2,Medium
12,Tuesday,Fine,Roundabout,60,0,0,0,0,2,1,Low
18,Saturday,Cloudy,Single carriageway,30,1,0,1,1,2,0,Medium
6,Thursday,Fine,Rural road,30,0,0,0,0,3,0,Low
16,Thursday,Rainy,Roundabout,80,0,0,0,2,2,2,High
19,Friday,Fine,One way street,40,1,0,0,0,1,0,Low
3,Sunday,Cloudy,Dual carriageway,60,0,1,1,1,1,1,Medium
4,Tuesday,Fine,One way street,60,0,1,0,0,1,1,Medium
22,Thursday,Cloudy,Dual carriageway,80,0,1,0,1,1,2,High
6,Friday,Rainy,Dual carriageway,50,0,0,0,2,1,1,Medium
12,Thursday,Fine,Rural road,50,0,0,0,0,3,1,Medium
14,Thursday,Cloudy,Roundabout,40,0,0,0,1,2,0,Low
10,Saturday,Cloudy,Roundabout,60,1,0,1,1,2,1,Medium
3,Saturday,Fine,Single carriageway,60,0,1,1,0,2,1,Medium
12,Thursday,Fine,One way street,60,0,0,0,0,1,1,Low
6,Wednesday,Fine,Rural road,30,0,0,0,0,3,0,Low
18,Saturday,Rainy,One way street,50,1,0,1,2,1,1,Medium
21,Tuesday,Cloudy,Single carriageway,80,0,0,0,1,2,2,Medium
1,Friday,Fine,Single carriageway,30,0,1,0,0,2,0,Medium
9,Friday,Fine,Rural road,30,1,0,0,0,3,0,Medium
12,Sunday,Fine,Single carriageway,50,0,0,1,0,2,1,Low
20,Tuesday,Fine,Rural road,60,1,0,0,0,3,1,Medium
5,Tuesday,Fine,Single carriageway,40,0,1,0,0,2,0,Medium
11,Tuesday,Fine,Roundabout,80,0,0,0,0,2,2,Medium
11,Sunday,Fine,Rural road,50,0,0,1,0,3,1,Medium
19,Tuesday,Fine,Roundabout,40,1,0,0,0,2,0,Low
10,Monday,Cloudy,Roundabout,50,1,0,0,1,2,1,Medium
22,Sunday,Rainy,Rural road,50,0,1,1,2,3,1,High
6,Friday,Cloudy,One way street,50,0,0,0,1,1,1,Low
0,Monday,Cloudy,Dual carriageway,50,0,1,0,1,1,1,Medium
0,Sunday,Fine,Single carriageway,60,0,1,1,0,2,1,Medium
19,Thursday,Fine,Single carriageway,30,1,0,0,0,2,0,Low
12,Thursday,Fine,One way street,50,0,0,0,0,1,1,Low
8,Friday,Cloudy,Dual carriageway,40,1,0,0,1,1,0,Low
2,Thursday,Rainy,One way street,40,0,1,0,2,1,0,Medium
6,Tuesday,Cloudy,Dual carriageway,40,0,0,0,1,1,0,Low
5,Sunday,Rainy,Rural road,30,0,1,1,2,3,0,High
7,Monday,Fine,Rural road,30,0,0,0,0,3,0,Low
8,Tuesday,Fine,Roundabout,40,1,0,0,0,2,0,Low
4,Thursday,Fine,Roundabout,60,0,1,0,0,2,1,Medium
0,Saturday,Fine,Rural road,30,0,1,1,0,3,0,Medium
18,Monday,Fine,Roundabout,30,1,0,0,0,2,0,Low
9,Tuesday,Cloudy,Rural road,60,1,0,0,1,3,1,High
11,Sunday,Fine,One way street,50,0,0,1,0,1,1,Low
23,Friday,Fine,Single carriageway,30,0,1,0,0,2,0,Medium
14,Tuesday,Fine,Rural road,40,0,0,0,0,3,0,Low
21,Saturday,Fine,Rural road,40,0,0,1,0,3,0,Low
23,Thursday,Fine,Rural road,60,0,1,0,0,3,1,High
8,Monday,Fine,Roundabout,40,1,0,0,0,2,0,Low
19,Friday,Fine,Roundabout,80,1,0,0,0,2,2,Medium
16,Monday,Cloudy,Roundabout,40,0,0,0,1,2,0,Low
16,Friday,Fine,Roundabout,60,0,0,0,0,2,1,Low
19,Sunday,Fine,One way street,60,1,0,1,0,1,1,Low
11,Monday,Rainy,Rural road,60,0,0,0,2,3,1,High
6,Thursday,Rainy,One way street,80,0,0,0,2,1,2,Medium
1,Sunday,Rainy,Roundabout,30,0,1,1,2,2,0,High
2,Sunday,Fine,One way street,50,0,1,1,0,1,1,Medium
16,Friday,Fine,Rural road,40,0,0,0,0,3,0,Low
4,Wednesday,Fine,Rural road,30,0,1,0,0,3,0,Medium
16,Monday,Fine,Roundabout,60,0,0,0,0,2,1,Low
23,Monday,Rainy,Rural road,30,0,1,0,2,3,0,High
16,Tuesday,Fine,One way street,30,0,0,0,0,1,0,Low
16,Friday,Fine,Dual carriageway,80,0,0,0,0,1,2,Low
1,Saturday,Fine,Rural road,60,0,1,1,0,3,1,High
1,Wednesday,Fine,One way street,60,0,1,0,0,1,1,Medium
21,Thursday,Fine,One way street,40,0,0,0,0,1,0,Low
22,Tuesday,Cloudy,One way street,40,0,1,0,1,1,0,Medium
4,Wednesday,Rainy,Rural road,40,0,1,0,2,3,0,High
0,Friday,Rainy,Dual carriageway,40,0,1,0,2,1,0,Medium
0,Wednesday,Fine,Roundabout,30,0,1,0,0,2,0,Medium
18,Sunday,Fine,Roundabout,30,1,0,1,0,2,0,Low
1,Monday,Fine,Rural road,40,0,1,0,0,3,0,Medium
20,Sunday,Fine,Rural road,40,1,0,1,0,3,0,Medium
11,Monday,Rainy,Single carriageway,40,0,0,0,2,2,0,Medium
5,Tuesday,Fine,Dual carriageway,50,0,1,0,0,1,1,Medium
22,Friday,Cloudy,One way street,40,0,1,0,1,1,0,Medium
3,Friday,Fine,One way street,50,0,1,0,0,1,1,Medium
22,Wednesday,Fine,Roundabout,40,0,1,0,0,2,0,Medium
10,Tuesday,Fine,Rural road,60,1,0,0,0,3,1,Medium
23,Friday,Fine,Dual carriageway,80,0,1,0,0,1,2,Medium
16,Saturday,Cloudy,Roundabout,30,0,0,1,1,2,0,Low
5,Saturday,Fine,Dual carriageway,60,0,1,1,0,1,1,Medium
23,Sunday,Cloudy,Rural road,80,0,1,1,1,3,2,High
4,Monday,Cloudy,One way street,50,0,1,0,1,1,1,Medium
19,Wednesday,Fine,Single carriageway,30,1,0,0,0,2,0,Low
1,Thursday,Cloudy,Dual carriageway,50,0,1,0,1,1,1,Medium
5,Monday,Fine,One way street,50,0,1,0,0,1,1,Medium
21,Tuesday,Cloudy,Dual carriageway,30,0,0,0,1,1,0,Low
10,Friday,Cloudy,Dual carriageway,80,1,0,0,1,1,2,Medium
15,Monday,Foggy,Dual carriageway,30,0,0,0,2,1,0,Low
15,Thursday,Fine,Rural road,40,0,0,0,0,3,0,Low
0,Thursday,Fine,Roundabout,50,0,1,0,0,2,1,Medium
8,Saturday,Fine,Dual carriageway,40,1,0,1,0,1,0,Low
5,Tuesday,Fine,Rural road,30,0,1,0,0,3,0,Medium
15,Monday,Cloudy,Single carriageway,30,0,0,0,1,2,0,Low
2,Wednesday,Rainy,Roundabout,80,0,1,0,2,2,2,High
19,Monday,Fine,Rural road,50,1,0,0,0,3,1,Medium
3,Saturday,Fine,Single carriageway,60,0,1,1,0,2,1,Medium
18,Sunday,Fine,Roundabout,30,1,0,1,0,2,0,Low
2,Thursday,Fine,Rural road,60,0,1,0,0,3,1,High
18,Tuesday,Fine,Single carriageway,50,1,0,0,0,2,1,Medium
19,Tuesday,Fine,Rural road,40,1,0,0,0,3,0,Medium
6,Wednesday,Cloudy,Single carriageway,50,0,0,0,1,2,1,Medium
19,Tuesday,Fine,Dual carriageway,80,1,0,0,0,1,2,Medium
8,Saturday,Fine,Dual carriageway,60,1,0,1,0,1,1,Low
0,Saturday,Cloudy,Roundabout,60,0,1,1,1,2,1,High
7,Saturday,Fine,Single carriageway,40,0,0,1,0,2,0,Low
6,Tuesday,Fine,Dual carriageway,40,0,0,0,0,1,0,Low
17,Tuesday,Cloudy,Roundabout,30,1,0,0,1,2,0,Medium
7,Saturday,Cloudy,One way street,50,0,0,1,1,1,1,Low
0,Tuesday,Fine,Dual carriageway,80,0,1,0,0,1,2,Medium
10,Tuesday,Fine,Dual carriageway,30,1,0,0,0,1,0,Low
17,Thursday,Cloudy,Rural road,50,1,0,0,1,3,1,High
22,Monday,Cloudy,One way street,40,0,1,0,1,1,0,Medium
9,Friday,Fine,Single carriageway,80,1,0,0,0,2,2,Medium
2,Tuesday,Fine,Roundabout,40,0,1,0,0,2,0,Medium
6,Friday,Fine,One way street,40,0,0,0,0,1,0,Low
15,Sunday,Fine,Single carriageway,60,0,0,1,0,2,1,Low
15,Friday,Fine,Dual carriageway,50,0,0,0,0,1,1,Low
19,Thursday,Fine,Roundabout,30,1,0,0,0,2,0,Low
16,Tuesday,Fine,Roundabout,60,0,0,0,0,2,1,Low
1,Saturday,Cloudy,One way street,50,0,1,1,1,1,1,Medium
0,Friday,Fine,Rural road,50,0,1,0,0,3,1,High
15,Tuesday,Cloudy,Single carriageway,50,0,0,0,1,2,1,Medium
11,Wednesday,Cloudy,One way street,80,0,0,0,1,1,2,Medium
4,Sunday,Fine,Rural road,60,0,1,1,0,3,1,High
4,Saturday,Cloudy,Rural road,30,0,1,1,1,3,0,High
22,Wednesday,Cloudy,Rural road,60,0,1,0,1,3,1,High
8,Wednesday,Fine,Roundabout,40,1,0,0,0,2,0,Low
8,Friday,Fine,Single carriageway,50,1,0,0,0,2,1,Medium
2,Wednesday,Fine,Single carriageway,40,0,1,0,0,2,0,Medium
18,Thursday,Rainy,One way street,60,1,0,0,2,1,1,Medium
15,Thursday,Fine,Dual carriageway,30,0,0,0,0,1,0,Low
15,Friday,Fine,One way street,40,0,0,0,0,1,0,Low
2,Tuesday,Cloudy,Single carriageway,40,0,1,0,1,2,0,Medium
19,Monday,Fine,Roundabout,80,1,0,0,0,2,2,Medium
23,Tuesday,Fine,One way street,60,0,1,0,0,1,1,Medium
21,Tuesday,Cloudy,Dual carriageway,40,0,0,0,1,1,0,Low
23,Tuesday,Fine,One way street,60,0,1,0,0,1,1,Medium
0,Tuesday,Cloudy,Rural road,30,0,1,0,1,3,0,High
23,Saturday,Cloudy,Dual carriageway,40,0,1,1,1,1,0,Medium
19,Monday,Fine,Rural road,30,1,0,0,0,3,0,Medium
10,Saturday,Fine,Roundabout,40,1,0,1,0,2,0,Low
16,Wednesday,Cloudy,Single carriageway,50,0,0,0,1,2,1,Medium
7,Sunday,Rainy,One way street,80,0,0,1,2,1,2,Medium
3,Tuesday,Fine,One way street,80,0,1,0,0,1,2,Medium
5,Sunday,Fine,Rural road,80,0,1,1,0,3,2,High
7,Thursday,Fine,Rural road,30,0,0,0,0,3,0,Low
19,Friday,Cloudy,Single carriageway,60,1,0,0,1,2,1,Medium
2,Friday,Cloudy,One way street,80,0,1,0,1,1,2,High
15,Saturday,Fine,Single carriageway,40,0,0,1,0,2,0,Low
2,Saturday,Rainy,Rural road,40,0,1,1,2,3,0,High
17,Thursday,Fine,Rural road,50,1,0,0,0,3,1,Medium
13,Tuesday,Cloudy,Dual carriageway,30,0,0,0,1,1,0,Low
17,Sunday,Fine,Rural road,40,1,0,1,0,3,0,Medium
1,Sunday,Fine,Rural road,40,0,1,1,0,3,0,Medium
21,Monday,Fine,Single carriageway,50,0,0,0,0,2,1,Low
2,Wednesday,Fine,Dual carriageway,50,0,1,0,0,1,1,Medium
15,Friday,Cloudy,Dual carriageway,60,0,0,0,1,1,1,Low
8,Wednesday,Fine,One way street,60,1,0,0,0,1,1,Low
3,Monday,Fine,Roundabout,60,0,1,0,0,2,1,Medium
0,Saturday,Fine,One way street,40,0,1,1,0,1,0,Low
3,Sunday,Fine,One way street,50,0,1,1,0,1,1,Medium
0,Friday,Cloudy,One way street,30,0,1,0,1,1,0,Medium
13,Wednesday,Cloudy,Dual carriageway,60,0,0,0,1,1,1,Low
20,Saturday,Fine,Single carriageway,80,1,0,1,0,2,2,Medium
15,Monday,Fine,Rural road,40,0,0,0,0,3,0,Low
19,Wednesday,Fine,Dual carriageway,30,1,0,0,0,1,0,Low
23,Sunday,Rainy,Rural road,40,0,1,1,2,3,0,High
7,Tuesday,Rainy,Rural road,60,0,0,0,2,3,1,High
6,Saturday,Cloudy,Roundabout,40,0,0,1,1,2,0,Low
2,Monday,Rainy,One way street,60,0,1,0,2,1,1,High
16,Wednesday,Cloudy,Roundabout,40,0,0,0,1,2,0,Low
0,Sunday,Cloudy,One way street,60,0,1,1,1,1,1,Medium
15,Tuesday,Fine,Dual carriageway,50,0,0,0,0,1,1,Low
11,Tuesday,Fine,Rural road,50,0,0,0,0,3,1,Medium
18,Monday,Fine,Roundabout,50,1,0,0,0,2,1,Medium
21,Thursday,Fine,Dual carriageway,50,0,0,0,0,1,1,Low
22,Sunday,Fine,Dual carriageway,50,0,1,1,0,1,1,Medium
21,Sunday,Fine,One way street,80,0,0,1,0,1,2,Low
13,Friday,Fine,Rural road,40,0,0,0,0,3,0,Low
5,Monday,Fine,One way street,50,0,1,0,0,1,1,Medium
5,Tuesday,Fine,One way street,80,0,1,0,0,1,2,Medium
12,Tuesday,Fine,Dual carriageway,80,0,0,0,0,1,2,Low
18,Monday,Rainy,One way street,40,1,0,0,2,1,0,Medium
21,Thursday,Cloudy,Single carriageway,40,0,0,0,1,2,0,Low
7,Friday,Cloudy,Rural road,60,0,0,0,1,3,1,Medium
1,Wednesday,Fine,One way street,60,0,1,0,0,1,1,Medium
20,Monday,Fine,One way street,50,1,0,0,0,1,1,Low
0,Friday,Fine,Roundabout,30,0,1,0,0,2,0,Medium
14,Sunday,Rainy,Rural road,60,0,0,1,2,3,1,High
0,Friday,Fine,Rural road,30,0,1,0,0,3,0,Medium
4,Saturday,Fine,One way street,60,0,1,1,0,1,1,Medium
15,Tuesday,Cloudy,Single carriageway,80,0,0,0,1,2,2,Medium
18,Wednesday,Fine,Roundabout,80,1,0,0,0,2,2,Medium
3,Monday,Fine,Single carriageway,80,0,1,0,0,2,2,High
2,Tuesday,Fine,One way street,30,0,1,0,0,1,0,Low
16,Saturday,Fine,Rural road,50,0,0,1,0,3,1,Medium
16,Saturday,Fine,Rural road,60,0,0,1,0,3,1,Medium
11,Tuesday,Fine,Single carriageway,60,0,0,0,0,2,1,Low
13,Thursday,Cloudy,Dual carriageway,30,0,0,0,1,1,0,Low
20,Friday,Cloudy,One way street,80,1,0,0,1,1,2,Medium
5,Monday,Fine,Rural road,50,0,1,0,0,3,1,High
2,Monday,Rainy,Dual carriageway,60,0,1,0,2,1,1,High
8,Monday,Fine,Rural road,50,1,0,0,0,3,1,Medium
4,Tuesday,Fine,Rural road,50,0,1,0,0,3,1,High
23,Sunday,Fine,Dual carriageway,40,0,1,1,0,1,0,Low
16,Thursday,Fine,Single carriageway,50,0,0,0,0,2,1,Low
13,Wednesday,Fine,One way street,40,0,0,0,0,1,0,Low
20,Saturday,Fine,Dual carriageway,30,1,0,1,0,1,0,Low
2,Tuesday,Cloudy,Dual carriageway,80,0,1,0,1,1,2,High
0,Sunday,Fine,Rural road,40,0,1,1,0,3,0,Medium
19,Wednesday,Fine,Dual carriageway,50,1,0,0,0,1,1,Low
20,Saturday,Rainy,One way street,80,1,0,1,2,1,2,High
22,Saturday,Fine,Single carriageway,50,0,1,1,0,2,1,Medium
0,Thursday,Fine,Single carriageway,50,0,1,0,0,2,1,Medium
2,Friday,Cloudy,Single carriageway,40,0,1,0,1,2,0,Medium
17,Monday,Fine,One way street,30,1,0,0,0,1,0,Low
9,Wednesday,Fine,Rural road,50,1,0,0,0,3,1,Medium
21,Tuesday,Fine,One way street,40,0,0,0,0,1,0,Low
2,Wednesday,Fine,Dual carriageway,50,0,1,0,0,1,1,Medium
7,Friday,Fine,Roundabout,80,0,0,0,0,2,2,Medium
13,Monday,Fine,Roundabout,30,0,0,0,0,2,0,Low
23,Wednesday,Rainy,Roundabout,50,0,1,0,2,2,1,High
17,Friday,Cloudy,Single carriageway,30,1,0,0,1,2,0,Medium
14,Tuesday,Fine,One way street,30,0,0,0,0,1,0,Low
21,Thursday,Cloudy,One way street,80,0,0,0,1,1,2,Medium
22,Sunday,Rainy,Single carriageway,80,0,1,1,2,2,2,High
1,Saturday,Fine,Dual carriageway,60,0,1,1,0,1,1,Medium
9,Tuesday,Fine,Roundabout,30,1,0,0,0,2,0,Low
1,Monday,Fine,Roundabout,50,0,1,0,0,2,1,Medium
16,Saturday,Cloudy,Single carriageway,80,0,0,1,1,2,2,Medium
7,Sunday,Fine,Roundabout,50,0,0,1,0,2,1,Low
0,Tuesday,Foggy,Rural road,30,0,1,0,2,3,0,High
8,Tuesday,Fine,One way street,80,1,0,0,0,1,2,Medium
10,Tuesday,Fine,Roundabout,60,1,0,0,0,2,1,Medium
21,Tuesday,Fine,Roundabout,30,0,0,0,0,2,0,Low
15,Saturday,Fine,Rural road,50,0,0,1,0,3,1,Medium
6,Monday,Cloudy,Dual carriageway,60,0,0,0,1,1,1,Low
9,Sunday,Rainy,Dual carriageway,30,1,0,1,2,1,0,Medium
22,Friday,Fine,Rural road,80,0,1,0,0,3,2,High
2,Wednesday,Rainy,Dual carriageway,30,0,1,0,2,1,0,Medium
17,Thursday,Cloudy,Single carriageway,40,1,0,0,1,2,0,Medium
23,Sunday,Fine,Rural road,50,0,1,1,0,3,1,High
12,Wednesday,Cloudy,One way street,80,0,0,0,1,1,2,Medium
6,Wednesday,Fine,One way street,80,0,0,0,0,1,2,Low
3,Thursday,Fine,One way street,40,0,1,0,0,1,0,Low
12,Sunday,Fine,Roundabout,60,0,0,1,0,2,1,Low
19,Saturday,Cloudy,Rural road,80,1,0,1,1,3,2,High
0,Monday,Fine,Rural road,60,0,1,0,0,3,1,High
7,Thursday,Cloudy,Dual carriageway,60,0,0,0,1,1,1,Low
13,Monday,Cloudy,Rural road,60,0,0,0,1,3,1,Medium
15,Saturday,Fine,Rural road,30,0,0,1,0,3,0,Low
13,Wednesday,Fine,Dual carriageway,40,0,0,0,0,1,0,Low
11,Monday,Fine,Rural road,50,0,0,0,0,3,1,Medium
